"nickname","flags","country_code","ip","port","is_running","verified_hostname"
"lisdex","Fast|Guard|Running|Stable|V2Dir|Valid","de","152.53.144.50","8443",false,"NULL"
"Quintex152","Exit|Fast|Running|V2Dir|Valid","us","204.8.96.141","444",true,"tor52.quintex.com"
"seele","Running|V2Dir|Valid","us","104.53.221.159","9001",false,"104-53-221-159.lightspeed.sntcca.sbcglobal.net"
"donottouchtheconfig","Fast|Running|Valid","cl","191.115.235.22","56010",true,"NULL"
"SENDNOOSEplz","Exit|Fast|Guard|Running|Stable|V2Dir|Valid","us","204.137.14.106","443",true,"NULL"
"titamon3","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","it","178.218.144.18","443",true,"NULL"
"skylarkRelay","Fast|Guard|Running|Stable|V2Dir|Valid","de","95.111.230.178","443",true,"NULL"
"9g4net3","Fast|Running|V2Dir|Valid","gb","185.184.70.225","443",true,"NULL"
"masterp","Fast|Guard|Running|Stable|V2Dir|Valid","us","96.9.98.148","443",true,"NULL"
"StarAppsMobley","Fast|Guard|Running|Stable|V2Dir|Valid","ch","84.234.21.98","9001",true,"ov-0b2913.infomaniak.ch"
"ernies","Fast|Guard|Running|Stable|V2Dir|Valid","se","80.239.189.84","9001",true,"NULL"
"ProxmoxA","Fast|Running|Stable|V2Dir|Valid","it","195.32.70.185","9001",false,"host185-70-32-195.dimensionesrl.eu"
"ForPrivacyNET","Exit|Fast|Guard|Running|Stable|V2Dir|Valid","de","185.220.101.33","10133",true,"tor-exit-33.for-privacy.net"
"relayon0170","Exit|Fast|Running|Stable|Valid","de","185.220.101.170","10170",true,"NULL"
"Unnamed","Running|Stable|V2Dir|Valid","sg","8.219.15.13","9004",true,"NULL"
"chali2na","Fast|Guard|Running|Stable|V2Dir|Valid","us","64.65.62.145","443",true,"NULL"
"CHOCOLATINE","Fast|Guard|Running|Stable|V2Dir|Valid","fr","31.207.35.64","443",true,"vps117753.serveur-vps.net"
"GTA69","Fast|Running|V2Dir|Valid","nl","2.27.170.185","8811",true,"NULL"
"Quintex216","Exit|Fast|Running|V2Dir|Valid","us","204.8.96.106","445",true,"tor16.quintex.com"
"NTH43R5","Exit|Fast|Running|Stable|Valid","nl","192.42.116.43","9004",true,"NULL"
"AnhKhoaMiddleNode","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","sg","178.128.106.111","9001",false,"NULL"
"Quintex254","Exit|Fast|Running|V2Dir|Valid","us","204.8.96.143","445",true,"tor54.quintex.com"
"salottisipuli","Fast|Running|Stable|Valid","fi","185.103.110.237","443",true,"NULL"
"NTH65R1","Fast|Guard|Running|Stable|V2Dir|Valid","nl","192.42.116.65","443",true,"NULL"
"Schwyz","Fast|Guard|Running|Stable|V2Dir|Valid","ch","89.47.51.189","443",true,"ov-cb7b0b.infomaniak.ch"
"r0cket11i7","Exit|Fast|Running|Stable|Valid","se","45.84.107.128","853",true,"exit-11.tor.r0cket.net"
"FcukGOP1","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","us","23.134.76.27","443",true,"NULL"
"Athena","Fast|Guard|Running|Stable|V2Dir|Valid","lu","104.244.79.75","443",true,"NULL"
"eisbaer","Exit|Fast|Running|Stable|Valid","at","109.70.100.12","9002",true,"tor-exit-anonymizer.appliedprivacy.net"
"Unnamed","Running|Stable|V2Dir|Valid","gr","185.243.214.73","9001",true,"ip-185-243-214-73-123886.vps.hosted-by-mvps.net"
"mavi","Fast|Running|Stable|Valid","us","64.65.2.246","443",true,"NULL"
"anarchistcook","Exit|Fast|Guard|Running|Stable|V2Dir|Valid","ch","179.43.159.78","9001",true,"NULL"
"QuintexAirVPN13","Exit|Fast|Running|V2Dir|Valid","us","204.8.96.103","443",true,"tor13.quintex.com"
"NTH66R4","Exit|Fast|Running|Stable|Valid","nl","192.42.116.66","9003",true,"NULL"
"NTH29R1","Fast|Guard|Running|Stable|V2Dir|Valid","nl","192.42.116.29","443",true,"NULL"
"jollyjack","Fast|Running|Stable|V2Dir|Valid","??","45.249.101.87","9090",true,"NULL"
"LoveOnlyMonero","Fast|Running|Valid","se","185.153.55.208","443",true,"NULL"
"HandsofGoldSpa","BadExit|MiddleOnly|Running|Stable|Valid","de","176.118.193.106","443",true,"NULL"
"eo190","Exit|Fast|HSDir|Running|Stable|V2Dir|Valid","us","23.129.64.190","443",true,"NULL"
"torplemmax","Fast|Guard|Running|Stable|V2Dir|Valid","pl","185.120.137.202","443",true,"NULL"
"Ajax","BadExit|Fast|MiddleOnly|Running|Valid","nl","206.189.6.56","9999",true,"NULL"
"evequefou8","Fast|Running|Stable|V2Dir|Valid","us","74.215.157.209","9008",false,"NULL"
"MaxRelay2","Fast|Guard|Running|Stable|V2Dir|Valid","us","23.186.168.33","443",true,"t0r1.maxhost.io"
"FTPhalifaxRWTH","Fast|Running|V2Dir|Valid","de","137.226.34.45","9001",true,"not-ftp.halifax.rwth-aachen.de"
"NTH98R7","Exit|Fast|Running|Stable|Valid","nl","192.42.116.98","9006",true,"NULL"
"UnshakledLiberty","Fast|Guard|Running|Stable|V2Dir|Valid","us","15.204.199.47","9002",true,"vps-5d4b182f.vps.ovh.us"
"TorRelayHetzFree","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","88.198.27.62","443",true,"static.88-198-27-62.clients.your-server.de"
"NTH43R4","Exit|Fast|Running|Stable|Valid","nl","192.42.116.43","9003",true,"NULL"
"prsv","Fast|Guard|Running|Stable|V2Dir|Valid","it","57.131.13.45","9200",true,"vps-3b9f4616.vps.ovh.net"
"bennybutcher","Fast|Guard|Running|Stable|V2Dir|Valid","us","96.9.98.147","443",true,"NULL"
